SK_LISTING,SK_HOST,NM_BAIRRO,NR_LATITUDE,NR_LONGITUDE,DS_TIPO_QUARTO,VLR_DIARIA_BRL,QTD_MIN_NOITES,QTD_TOTAL_AVALIACOES,QTD_DIAS_DISPONIVEIS,SAMPLE_ORIGIN,categoria_vibe,tipo_vista,ponto_forte,principal_caracteristica
400326,1998370,Copacabana,-22.96714,-43.18372,Entire home/apt,282.0,1,158,136,RELATED_TO_REVIEW,Econômico,Urbana,Aconchegante e moderno,Praticidade
466477,4307081,Copacabana,-22.98495,-43.1926,Private room,376.0,3,18,351,RELATED_TO_REVIEW,Luxo,Mar,Localização privilegiada praia,Apartamento
484267,2385085,Copacabana,-22.9857,-43.19045,Entire home/apt,723.0,2,266,61,RELATED_TO_REVIEW,Padrão,Urbana,Localização privilegiada varanda,Varanda
507900,2502969,Cosme Velho,-22.94433,-43.20504,Entire home/apt,170.0,3,104,279,RELATED_TO_REVIEW,Econômico,Natureza,Suíte independente natureza,Suíte
519097,2554622,Ipanema,-22.985536575317383,-43.19681930541992,Private room,270.0,2,318,202,RELATED_TO_REVIEW,Luxo,Mar,Privacidade perto praia,Conforto
178833,856145,Copacabana,-22.98026,-43.19109,Private room,270.0,3,145,292,RELATED_TO_REVIEW,Luxo,Urbana,Melhor internet veranda,Penthouse
193317,937397,Ipanema,-22.98467,-43.19714,Private room,212.0,3,189,59,RELATED_TO_REVIEW,Econômico,Sem Vista,Perto da praia,Localização
202778,529105,Copacabana,-22.96582,-43.17786,Entire home/apt,353.0,3,243,360,RELATED_TO_REVIEW,Moderno,Urbana,Localização em Copacabana,Studio
223073,503995,Ipanema,-22.9828,-43.20467,Entire home/apt,261.0,1,505,308,RELATED_TO_REVIEW,Moderno,Urbana,Localização em Ipanema,Loft
238802,235496,Copacabana,-22.96386,-43.17757,Entire home/apt,686.0,2,141,309,RELATED_TO_REVIEW,Familiar,Sem Vista,Perto da praia,Localização
239531,792218,Copacabana,-22.96434,-43.17563,Entire home/apt,203.0,2,138,260,RELATED_TO_REVIEW,Luxo,Mar,Quarto com vista,Vista
248756,804664,Copacabana,-22.98029,-43.19054,Entire home/apt,665.0,3,176,69,RELATED_TO_REVIEW,Econômico,Urbana,Próximo à praia,Localização
249323,1306210,Copacabana,-22.976,-43.18838,Entire home/apt,571.0,2,175,289,RELATED_TO_REVIEW,Luxo,Mar,Design frente mar,Designer
249842,1309444,Copacabana,-22.96794,-43.18969,Private room,146.0,2,226,135,RELATED_TO_REVIEW,Econômico,Urbana,Central perto praia,Localização
256323,1348172,Santa Teresa,-22.91742,-43.1833,Entire home/apt,200.0,3,264,255,RELATED_TO_REVIEW,Econômico | Moderno,Sem Vista,Conforto e Praticidade,Studio
272335,7506316,Copacabana,-22.9623,-43.17389,Entire home/apt,177.0,3,402,309,RELATED_TO_REVIEW,Padrão,Sem Vista,Localização Excelente,Apartamento
273463,319672,Lagoa,-22.97542,-43.19857,Entire home/apt,523.0,3,677,307,RELATED_TO_REVIEW,Familiar,Natureza,Vista para lagoa,Apartamento
525890,2286711,Glória,-22.92119,-43.17719,Entire home/apt,230.0,2,132,90,RELATED_TO_REVIEW,Econômico,Urbana,Localização muito prática,Próximo
555606,2704494,Botafogo,-22.9492,-43.18457,Entire home/apt,220.0,2,360,362,RELATED_TO_REVIEW,Econômico,Urbana,Próximo ao metrô,Conveniência
577253,2838933,Copacabana,-22.96626,-43.17985,Private room,341.0,2,149,345,RELATED_TO_REVIEW,Padrão,Urbana,Localização Excelente,Localização
588751,2903813,Ipanema,-22.98385,-43.20041,Entire home/apt,912.0,5,30,24,RELATED_TO_REVIEW,Padrão,Sem Vista,Conforto e espaço,Confortável
634422,474000,Centro,-22.91178,-43.17856,Entire home/apt,142.0,1,479,21,RELATED_TO_REVIEW,Padrão,Urbana,Vista Arcos Lapa,Silencioso
672835,3413077,Copacabana,-22.97344,-43.18813,Entire home/apt,363.0,1,413,27,RELATED_TO_REVIEW,Econômico | Padrão,Mar,Localização próxima praia,Apart hotel
844070,2422154,Joá,-23.01128,-43.29399,Entire home/apt,103.0,3,85,75,RELATED_TO_REVIEW,Luxo,Natureza,Exclusividade para poucos,Privacidade
855137,894588,Copacabana,-22.969697952270508,-43.18413162231445,Entire home/apt,531.0,2,63,146,RELATED_TO_REVIEW,Econômico,Urbana,Proximidade com praia,Localização
873890,4613553,Copacabana,-22.98252,-43.19156,Entire home/apt,1871.0,2,136,174,RELATED_TO_REVIEW,Luxo,Urbana,Amplo Duplex Vista,Penthouse
874722,4630101,Copacabana,-22.98188,-43.1947,Private room,139.0,3,345,58,RELATED_TO_REVIEW,Padrão,Urbana,Conforto e localização,suíte
886300,4698706,Urca,-22.95539,-43.16666,Entire home/apt,341.0,2,541,42,RELATED_TO_REVIEW,Luxo,Natureza,Vista Pão Açúcar,Localização
913581,674409,Copacabana,-22.98468,-43.18993,Private room,173.0,2,177,28,RELATED_TO_REVIEW,Econômico,Mar,Localização em Copacabana,Quarto
915090,2479468,Copacabana,-22.986971,-43.191235,Entire home/apt,343.0,6,133,122,RELATED_TO_REVIEW,Padrão,Sem Vista,Dois quartos localização,Prático
925802,4981026,Praça da Bandeira,-22.91247,-43.21582,Private room,99.0,3,74,283,RELATED_TO_REVIEW,Econômico,Urbana,Localização central estratégica,Conveniência
675035,2448303,Botafogo,-22.94135,-43.1784,Entire home/apt,153.0,1,401,115,RELATED_TO_REVIEW,Econômico,Urbana,Aconchegante e agradável,Apartamento
716516,3665789,Gávea,-22.98253,-43.23719,Entire home/apt,1019.0,3,74,358,RELATED_TO_REVIEW,Padrão,Sem Vista,Seguro e espaçoso,Segurança
727379,3767558,Copacabana,-22.96554,-43.17929,Entire home/apt,208.0,2,485,143,RELATED_TO_REVIEW,Padrão,Urbana,Localização central privilegiada,Localização
749237,3937029,Ipanema,-22.98454,-43.20809,Entire home/apt,1000.0,3,61,315,RELATED_TO_REVIEW,Luxo,Mar,Próximo à praia,Localização
762988,3962758,Leme,-22.96222,-43.17022,Private room,169.0,2,239,330,RELATED_TO_REVIEW,Econômico,Mar,Melhor vista garantida,Vista
770452,4064364,Ipanema,-22.98535,-43.20054,Entire home/apt,265.0,3,373,98,RELATED_TO_REVIEW,Luxo,Mar,Praia renovada moderna,Renovado
772144,1921729,Copacabana,-22.98662,-43.18973,Entire home/apt,782.0,5,297,151,RELATED_TO_REVIEW,Romântico,Sem Vista,Localização Perfeita,Charmoso
780813,4020659,Copacabana,-22.96527,-43.17621,Entire home/apt,194.0,2,71,264,RELATED_TO_REVIEW,Econômico,Sem Vista,Próximo à praia,Localização
825329,4331226,Copacabana,-22.96073,-43.1756,Entire home/apt,393.0,4,100,43,RELATED_TO_REVIEW,Moderno,Natureza,Vista para floresta,AptHotel
960461,5228078,Santa Teresa,-22.92379,-43.18276,Entire home/apt,207.0,2,351,317,RELATED_TO_REVIEW,Padrão,Sem Vista,Estacionamento Reservado,Comodidade
996602,5475732,Copacabana,-22.97176551818848,-43.19038391113281,Entire home/apt,168.0,2,638,230,RELATED_TO_REVIEW,Econômico,Urbana,Proximidade à praia,Localização
1017703,5600818,Copacabana,-22.96687,-43.18474,Entire home/apt,425.0,3,207,286,RELATED_TO_REVIEW,Padrão,Mar,Localização estratégica marítima,Charmoso
1033727,5689207,Leblon,-22.98491,-43.22132,Entire home/apt,462.0,3,180,245,RELATED_TO_REVIEW,Econômico,Urbana,Localização estratégica Leblon,Custo-benefício
1063491,1381764,Copacabana,-22.96397,-43.17518,Entire home/apt,268.0,1,184,312,RELATED_TO_REVIEW,Luxo,Mar,Vista lateral mar,Proximidade
1065597,5862587,Ipanema,-22.98474,-43.21464,Entire home/apt,432.0,2,19,357,RELATED_TO_REVIEW,Econômico,Urbana,Próximo à praia,Localização
1458993,7821561,Centro,-22.91346,-43.1879,Entire home/apt,251.0,10,35,66,RELATED_TO_REVIEW,Moderno,Urbana,Localização central ideal,Loft
1578335,8388535,Copacabana,-22.9827,-43.19418,Entire home/apt,203.0,2,326,105,RELATED_TO_REVIEW,Luxo,Mar,Apartamento de praia,Imaculada
1578414,8389064,Ipanema,-22.9854,-43.20233,Entire home/apt,266.0,4,124,13,RELATED_TO_REVIEW,Luxo,Urbana,Espaçoso e elegante,flat
1583179,8428615,Leblon,-22.983369827270508,-43.21887969970703,Entire home/apt,682.0,2,189,118,RELATED_TO_REVIEW,Luxo,Urbana,Vista maravilhosa flat,Elegância
1632682,8674010,Ipanema,-22.98335,-43.19819,Entire home/apt,1200.0,2,152,90,RELATED_TO_REVIEW,Luxo,Urbana,Localização em Ipanema,Apartamento
1640669,4631556,Copacabana,-22.97809,-43.19165,Entire home/apt,303.0,3,281,287,RELATED_TO_REVIEW,Familiar | Romântico,Urbana,Apartamento 2 quartos,Charmoso
1687505,3746246,Ipanema,-22.98627,-43.19454,Entire home/apt,254.0,4,126,298,RELATED_TO_REVIEW,Moderno,Urbana,Novo e aconchegante,Novo
1713671,7525886,Ipanema,-22.984304428100582,-43.20834732055664,Entire home/apt,395.0,2,378,286,RELATED_TO_REVIEW,Luxo | Moderno,Urbana,Localização privilegiada nobre,Studio
1721278,6044275,Leblon,-22.98366,-43.22035,Entire home/apt,4074.0,4,5,16,RELATED_TO_REVIEW,Luxo,Urbana,Localização nobre Leblon,Exclusividade
1723791,713797,Humaitá,-22.96013,-43.19982,Private room,290.0,1,47,240,RELATED_TO_REVIEW,Luxo,Urbana,Vista Cristo Redentor,Suíte
1724741,9090719,Copacabana,-22.96501,-43.17614,Entire home/apt,250.0,3,72,354,RELATED_TO_REVIEW,Luxo,Mar,Vista lateral mar,Vista
1732191,9124808,Copacabana,-22.98609,-43.19232,Entire home/apt,576.0,3,340,186,RELATED_TO_REVIEW,Econômico,Urbana,Localização entre bairros,Flat
1732266,9126532,Copacabana,-22.98352,-43.19044,Entire home/apt,90.0,2,112,118,RELATED_TO_REVIEW,Padrão,Urbana,Ótima localização central,Localização
1763815,9270905,Ipanema,-22.98634,-43.20033,Entire home/apt,403.0,1,74,295,RELATED_TO_REVIEW,Luxo,Urbana,Cobertura Exclusiva Moderna,Penthouse
1110592,5695975,Copacabana,-22.98396,-43.19364,Entire home/apt,200.0,4,311,257,RELATED_TO_REVIEW,Luxo,Urbana,Localização privilegiada,Flat
1118497,6138630,Copacabana,-22.98394,-43.19047,Entire home/apt,239.0,2,395,94,RELATED_TO_REVIEW,Econômico,Mar,Proximidade com praia,Studio
1130596,2989144,Ipanema,-22.98765,-43.19378,Entire home/apt,791.0,10,200,276,RELATED_TO_REVIEW,Luxo,Sem Vista,Amplo estilo residencial,Casa
1146944,4555781,Laranjeiras,-22.93556,-43.18094,Entire home/apt,177.0,2,284,198,RELATED_TO_REVIEW,Padrão,Urbana,Localização em Copacabana,Apartamento
1149627,6301967,Ipanema,-22.98398,-43.20823,Entire home/apt,780.0,3,91,210,RELATED_TO_REVIEW,Luxo,Urbana,Localização exclusiva,Raridade
1150993,6308478,Barra de Guaratiba,-23.0662,-43.5659,Entire home/apt,752.0,3,24,360,RELATED_TO_REVIEW,Padrão,Mar,Estilo Boêmio Tropical,Praia
1173981,3962758,Leme,-22.9607,-43.16962,Private room,158.0,2,29,105,RELATED_TO_REVIEW,Luxo,Mar,Melhor vista garantida,Vista
1174302,3962758,Copacabana,-22.95944,-43.17349,Private room,170.0,2,124,330,RELATED_TO_REVIEW,Luxo,Mar,Melhor vista Copa,Suíte
1190324,6506235,Leblon,-22.98598,-43.22426,Private room,292.0,1,239,182,RELATED_TO_REVIEW,Econômico,Sem Vista,Próximo à praia,Suite
1274695,6938417,Ipanema,-22.98376,-43.2001,Entire home/apt,893.0,30,21,210,RELATED_TO_REVIEW,Romântico,Mar,Charmoso perto praia,Charme
1280058,1834286,Copacabana,-22.9856,-43.19,Entire home/apt,510.0,2,458,267,RELATED_TO_REVIEW,Luxo,Mar,Localização em Copacabana,Apartamento
1288017,6338641,Flamengo,-22.93898,-43.17313,Entire home/apt,294.0,2,229,59,RELATED_TO_REVIEW,Econômico,Mar,Vista Cristo Redentor,Localização
1791848,2893741,Ipanema,-22.9866943359375,-43.19386672973633,Entire home/apt,258.0,4,241,78,RELATED_TO_REVIEW,Moderno,Mar,Localização privilegiada praia,Boêmio
1847188,474000,Centro,-22.91196,-43.17873,Entire home/apt,129.0,1,407,34,RELATED_TO_REVIEW,Econômico,Sem Vista,Aconchegante e confortável,Conforto
1768456,56451628,Copacabana,-22.97531,-43.18971,Entire home/apt,227.0,3,357,99,RELATED_TO_REVIEW,Econômico,Urbana,Localização em Copa,Praticidade
2046481,10491355,Leblon,-22.98223,-43.22319,Entire home/apt,293.0,1,157,242,RELATED_TO_REVIEW,Econômico,Sem Vista,Perto da praia,Studio
2053687,10520880,Copacabana,-22.96507,-43.19335,Entire home/apt,800.0,3,51,267,RELATED_TO_REVIEW,Moderno,Urbana,Localização em Copacabana,Praticidade
2078559,2704494,Ipanema,-22.9847,-43.19919,Entire home/apt,205.0,2,444,341,RELATED_TO_REVIEW,Padrão,Urbana,Próximo ao metrô,Conforto
2138728,10914284,Leme,-22.96313,-43.17,Private room,235.0,2,421,226,RELATED_TO_REVIEW,Econômico,Mar,Vista incrível mar,Privacidade
2152945,4284876,Leblon,-22.98314,-43.22818,Entire home/apt,324.0,5,256,76,RELATED_TO_REVIEW,Moderno,Urbana,Bem iluminado,Luminoso
2155838,10471406,Leblon,-22.98279,-43.22193,Entire home/apt,727.0,3,228,320,RELATED_TO_REVIEW,Luxo,Urbana,Localização muito boa,Loft
2160137,11022352,Catete,-22.92891,-43.17738,Entire home/apt,200.0,3,304,236,RELATED_TO_REVIEW,Familiar,Sem Vista,Próximo ao lazer,Localização
2165011,5972450,Copacabana,-22.96472,-43.18065,Entire home/apt,273.0,3,36,260,RELATED_TO_REVIEW,Romântico,Sem Vista,Charmoso e Aconchegante,apartamento
2168353,11062664,Centro,-22.91164,-43.18518,Entire home/apt,241.0,2,188,266,RELATED_TO_REVIEW,Luxo | Moderno,Urbana,Localização cultural excelente,Apartamento
1892398,9836825,Copacabana,-22.97408,-43.18982,Entire home/apt,371.0,2,126,340,RELATED_TO_REVIEW,Padrão,Urbana,Localização central privilegiada,Localização
1892918,9838755,Copacabana,-22.98478,-43.1906,Entire home/apt,292.0,2,170,120,RELATED_TO_REVIEW,Econômico,Urbana,Localização em Copacabana,studio
1895099,9847358,Leblon,-22.97961,-43.22336,Entire home/apt,622.0,3,192,65,RELATED_TO_REVIEW,Luxo,Urbana,Jacuzzi com vista,Rooftop
1912695,4613553,Copacabana,-22.97621,-43.18937,Entire home/apt,1378.0,2,134,285,RELATED_TO_REVIEW,Luxo,Mar,Piscina Privativa Exclusiva,Penthouse
1943837,10054467,Copacabana,-22.98054,-43.19094,Private room,90.0,1,243,54,RELATED_TO_REVIEW,Econômico,Sem Vista,Privacidade e aconchego,Praticidade
1964140,10147371,Barra da Tijuca,-23.01008,-43.34924,Entire home/apt,350.0,5,236,92,RELATED_TO_REVIEW,Econômico,Mar,Perto da praia,apart-hotel
1966732,10158511,Copacabana,-22.9646595,-43.1748024,Entire home/apt,284.0,2,229,111,RELATED_TO_REVIEW,Econômico,Sem Vista,Próximo à praia,Localização
1977864,1500231,Botafogo,-22.95676,-43.18238,Private room,313.0,3,18,347,RELATED_TO_REVIEW,Luxo,Urbana,Varanda espaçosa duplex,Duplex
2003574,4455538,Barra da Tijuca,-23.01128,-43.36015,Entire home/apt,302.0,2,292,328,RELATED_TO_REVIEW,Padrão,Mar,Frente para praia,Apartamento
2015458,4417808,Botafogo,-22.95266,-43.17707,Entire home/apt,323.0,3,138,163,RELATED_TO_REVIEW,Charmoso,Natureza,Vista Pão Açúcar,Localização
2248466,11482984,Copacabana,-22.97475,-43.18754,Entire home/apt,684.0,5,214,70,RELATED_TO_REVIEW,Padrão,Sem Vista,Localização excelente brilhante,Iluminação
2196318,10104753,Santa Teresa,-22.93749,-43.20506,Entire home/apt,348.0,3,104,280,RELATED_TO_REVIEW,Luxo,Urbana,Vista panorâmica incrível,Terraço
2217005,11309673,Copacabana,-22.9647,-43.17796,Entire home/apt,189.0,2,166,326,RELATED_TO_REVIEW,Econômico,Urbana,Localização próxima praia,Praticidade
2370226,12108736,Laranjeiras,-22.94228,-43.19327,Private room,340.0,2,142,345,RELATED_TO_REVIEW,Econômico,Sem Vista,Privacidade e conforto,Privativo
2379205,10649854,Leblon,-22.984442,-43.232979,Entire home/apt,1244.0,2,132,297,RELATED_TO_REVIEW,Familiar,Urbana,Vista Urbana Vista,Vista
2383310,319672,Ipanema,-22.98418,-43.19454,Entire home/apt,478.0,3,489,358,RELATED_TO_REVIEW,Luxo,Urbana,Amplo e iluminado,Espaçoso
2395010,12234661,Leblon,-22.97952,-43.22022,Entire home/apt,650.0,3,155,61,RELATED_TO_REVIEW,Luxo,Urbana,Localização nobre Leblon,Apartamento
2397791,12251658,Copacabana,-22.971942901611328,-43.19195175170898,Entire home/apt,468.0,5,45,269,RELATED_TO_REVIEW,Luxo,Mar,Localização privilegiada praia,Exclusividade
2411803,7507394,Santa Teresa,-22.9209,-43.18121,Entire home/apt,270.0,7,11,88,RELATED_TO_REVIEW,Moderno,Mar,Vista Baía Conforto,Espaço
2415735,12347511,Copacabana,-22.96834,-43.18569,Entire home/apt,158.0,2,478,90,RELATED_TO_REVIEW,Econômico,Sem Vista,Prático e aconchegante,Studio
2416600,12351117,Ipanema,-22.98596,-43.19904,Entire home/apt,501.0,6,35,261,RELATED_TO_REVIEW,Romântico,Mar,Charmoso flat praia,Conforto
2426248,12351670,Laranjeiras,-22.932525634765625,-43.183048248291016,Private room,120.0,3,44,74,RELATED_TO_REVIEW,Econômico,Urbana,Quarto aconchegante bem localizado,Conforto
2445702,12498389,Copacabana,-22.96819,-43.18199,Entire home/apt,215.0,6,52,173,RELATED_TO_REVIEW,Padrão,Mar,Quadra da praia,Localização
2452761,12080407,Centro,-22.91456,-43.1864,Entire home/apt,180.0,2,200,260,RELATED_TO_REVIEW,Padrão,Urbana,Localização cultural privilegiada,Apartamento
2258247,10066751,Ipanema,-22.98161,-43.19894,Entire home/apt,458.0,3,134,349,RELATED_TO_REVIEW,Familiar,Urbana,Conforto e localização,Apartamento
2258593,1076452,Copacabana,-22.97361,-43.1894,Entire home/apt,220.0,5,58,345,RELATED_TO_REVIEW,Luxo,Mar,Localização à beira-mar,Apartamento
2273956,11609657,Ipanema,-22.98058,-43.20341,Entire home/apt,550.0,2,61,120,RELATED_TO_REVIEW,Luxo,Natureza,Vista Lagoa Cristo,Vista
2298212,11631956,Copacabana,-22.96219,-43.17802,Entire home/apt,345.0,3,88,156,RELATED_TO_REVIEW,Luxo,Mar,Vista espetacular praia,Penthouse
2301415,1404492,Laranjeiras,-22.9379,-43.18894,Entire home/apt,363.0,3,38,64,RELATED_TO_REVIEW,Luxo,Urbana,Segurança e panorama,Refúgio
2325788,10661466,Copacabana,-22.98008,-43.19198,Entire home/apt,360.0,4,28,300,RELATED_TO_REVIEW,Luxo,Mar,Localização privilegiada praia,Apartamento
2330221,11901508,Ipanema,-22.98433,-43.1974,Entire home/apt,238.0,3,191,184,RELATED_TO_REVIEW,Luxo,Mar,Localização privilegiada praia,Exclusividade
2349343,11997903,Glória,-22.92028,-43.17777,Entire home/apt,200.0,2,427,323,RELATED_TO_REVIEW,Econômico,Urbana,Compacto e Charmoso,Miniapartamento
2508774,172059617,Ipanema,-22.9879,-43.19496,Private room,156.0,1,206,333,RELATED_TO_REVIEW,Econômico,Urbana,Localização privilegiada Ipanema,Quarto
2461715,4428126,Copacabana,-22.96644,-43.18141,Entire home/apt,969.0,2,163,220,RELATED_TO_REVIEW,Moderno,Urbana,Design e Vista,Design
2473323,12650247,Barra da Tijuca,-23.00443,-43.32676,Private room,140.0,1,398,310,RELATED_TO_REVIEW,Padrão,Urbana,Localização privilegiada Barra,Localização
2489727,172059617,Ipanema,-22.98703,-43.19502,Private room,154.0,1,245,343,RELATED_TO_REVIEW,Econômico,Urbana,Localização em Ipanema,Privativo
2657131,13596474,Ipanema,-22.98485,-43.20936,Entire home/apt,258.0,2,44,208,RELATED_TO_REVIEW,Luxo,Urbana,Vista Cristo Redentor,Localização
2666977,3462794,Leme,-22.96275,-43.1727,Entire home/apt,471.0,3,294,49,RELATED_TO_REVIEW,Luxo,Mar,Apartamento luxuoso praia,Luxuoso
2716091,13898744,Ipanema,-22.98546,-43.20377,Entire home/apt,331.0,2,350,221,RELATED_TO_REVIEW,Moderno,Urbana,Localização em Ipanema,Apartamento
2717072,13903917,Barra de Guaratiba,-23.07262,-43.56787,Entire home/apt,790.0,2,129,352,RELATED_TO_REVIEW,Luxo,Mar,Vista Mar Deslumbrante,Casa
2726547,13952932,Copacabana,-22.98427,-43.19282,Entire home/apt,234.0,2,331,51,RELATED_TO_REVIEW,Econômico,Urbana,Localização privilegiada,Studio
2546631,13020068,Copacabana,-22.96862,-43.18644,Entire home/apt,242.0,3,455,202,RELATED_TO_REVIEW,Padrão,Urbana,Localização em Copacabana,Residência
2550510,13058091,Ipanema,-22.98532,-43.20402,Entire home/apt,540.0,4,67,128,RELATED_TO_REVIEW,Luxo,Mar,Próximo à praia,Localização
2560321,13108170,Copacabana,-22.96543502807617,-43.17399215698242,Entire home/apt,708.0,2,209,137,RELATED_TO_REVIEW,Luxo,Mar,Localização e conforto,Suítes
2632743,13482680,Ipanema,-22.98134,-43.19855,Entire home/apt,475.0,3,326,271,RELATED_TO_REVIEW,Luxo | Moderno,Mar,Vista espetacular mar,Loft
2758806,476162,Copacabana,-22.9796,-43.19085,Entire home/apt,179.0,5,96,273,RELATED_TO_REVIEW,Moderno,Urbana,Design Aberto Moderno,Loft
2759691,14115818,Flamengo,-22.928,-43.17543,Entire home/apt,1192.0,2,27,352,RELATED_TO_REVIEW,Moderno,Urbana,Amplo perto metrô,Espaçoso
2946520,13392098,Ipanema,-22.9832,-43.19619,Entire home/apt,280.0,4,22,250,RELATED_TO_REVIEW,Luxo,Urbana,Localização em Ipanema,Flat
2947331,15045399,Ipanema,-22.98358,-43.19645,Entire home/apt,390.0,5,120,147,RELATED_TO_REVIEW,Padrão,Sem Vista,Localização em Ipanema,Localização
2950011,15059402,Ipanema,-22.98584,-43.19893,Entire home/apt,457.0,4,67,200,RELATED_TO_REVIEW,Luxo | Romântico,Mar | Urbana,Localização privilegiada praia,Exclusividade
2966973,13596474,Ipanema,-22.98436,-43.2095,Entire home/apt,265.0,2,33,250,RELATED_TO_REVIEW,Padrão,Sem Vista,Localização em Ipanema,Apartamento
2995089,15268463,Copacabana,-22.9761478,-43.1899004,Entire home/apt,213.0,4,123,98,RELATED_TO_REVIEW,Padrão,Sem Vista,Proximidade com praia,Localização
2817475,14279272,Copacabana,-22.97733,-43.1902,Entire home/apt,223.0,2,85,16,RELATED_TO_REVIEW,Padrão,Urbana,Próximo à praia,Localização
2829064,14447555,São Cristóvão,-22.90505,-43.21977,Entire home/apt,242.0,1,164,291,RELATED_TO_REVIEW,Econômico,Urbana,Capacidade para seis,Praticidade
2838382,14520502,Copacabana,-22.97803,-43.18901,Entire home/apt,335.0,1,53,315,RELATED_TO_REVIEW,Luxo,Mar,Vista para o mar,Vista
2897255,11572985,Copacabana,-22.98574,-43.19027,Entire home/apt,877.0,2,71,219,RELATED_TO_REVIEW,Luxo,Mar,Jacuzzi e churrasqueira,Penthouse
3183776,16141644,Ipanema,-22.98606,-43.19719,Entire home/apt,276.0,1,77,335,RELATED_TO_REVIEW,Econômico,Sem Vista,Compacto e funcional,Studio
3228852,16342013,Flamengo,-22.92712,-43.1737,Entire home/apt,204.0,2,166,33,RELATED_TO_REVIEW,Romântico,Sem Vista,Ambiente acolhedor iluminado,Luz
3230385,16323335,Leme,-22.962833,-43.169964,Entire home/apt,299.0,4,371,132,RELATED_TO_REVIEW,Romântico,Mar,Studio com vista,Charmoso
3234193,16367873,Ipanema,-22.986822,-43.194298,Entire home/apt,251.0,6,261,70,RELATED_TO_REVIEW,Econômico,Mar,Vista mar parcial,Estúdio
3245831,400293,Copacabana,-22.97873,-43.19129,Private room,218.0,3,240,57,RELATED_TO_REVIEW,Econômico,Urbana,Banheiro Privativo Incluso,Quarto
3302906,6506235,Leblon,-22.98481,-43.22518,Private room,261.0,1,380,143,RELATED_TO_REVIEW,Econômico,Sem Vista,Próximo à praia,Localização
3069393,11656828,Leme,-22.9627,-43.16859,Private room,193.0,3,360,129,RELATED_TO_REVIEW,Econômico,Mar,Próximo à praia,Privacidade
3074520,15646327,Leblon,-22.98278,-43.21964,Entire home/apt,514.0,5,399,110,RELATED_TO_REVIEW,Luxo,Mar,Design Praia Leblon,Apartamento
3079210,15670158,Flamengo,-22.93779,-43.17348,Entire home/apt,212.0,2,403,313,RELATED_TO_REVIEW,Familiar,Sem Vista,Conforto e silêncio,Próximo
3079245,15670256,Copacabana,-22.96948,-43.18954,Entire home/apt,316.0,2,81,92,RELATED_TO_REVIEW,Padrão,Urbana,Conforto e localização,Confortável
