SK_LISTING,SK_HOST,NM_BAIRRO,NR_LATITUDE,NR_LONGITUDE,DS_TIPO_QUARTO,VLR_DIARIA_BRL,QTD_MIN_NOITES,QTD_TOTAL_AVALIACOES,QTD_DIAS_DISPONIVEIS,CAT_VIBE_IA,CAT_TIPO_VISTA,TXT_DESTAQUE_IA,TXT_CARACTERISTICA_IA
1063491,1381764,Copacabana,-22.96397,-43.17518,Casa/Apto inteiro,268.0,1,184,312,Padrão,Mar,Vista lateral mar,Proximidade
1065597,5862587,Ipanema,-22.98474,-43.21464,Casa/Apto inteiro,432.0,2,19,357,Econômico,Sem Vista,Perto da praia,Charmoso
1458993,7821561,Centro,-22.91346,-43.1879,Casa/Apto inteiro,251.0,10,35,66,Moderno,Urbana,Localização central conveniente,Loft
1578335,8388535,Copacabana,-22.9827,-43.19418,Casa/Apto inteiro,203.0,2,326,105,Luxo,Mar,Apartamento impecável praia,Apartamento
1578414,8389064,Ipanema,-22.9854,-43.20233,Casa/Apto inteiro,266.0,4,124,13,Luxo,Urbana,Espaçoso e elegante,flat
1583179,8428615,Leblon,-22.983369827270508,-43.21887969970703,Casa/Apto inteiro,682.0,2,189,118,Luxo,Urbana,Vista maravilhosa única,Elegância
1632682,8674010,Ipanema,-22.98335,-43.19819,Casa/Apto inteiro,1200.0,2,152,90,Luxo,Urbana,Apartamento com garagem,Conforto
1640669,4631556,Copacabana,-22.97809,-43.19165,Casa/Apto inteiro,303.0,3,281,287,Familiar,Urbana,Localização em Copacabana,Apartamento
1687505,3746246,Ipanema,-22.98627,-43.19454,Casa/Apto inteiro,254.0,4,126,298,Moderno,Urbana,"Novo, acolhedor, descolado",Conforto
1713671,7525886,Ipanema,-22.984304428100582,-43.20834732055664,Casa/Apto inteiro,395.0,2,378,286,Moderno,Urbana,Localização em Ipanema,Loft
1721278,6044275,Leblon,-22.98366,-43.22035,Casa/Apto inteiro,4074.0,4,5,16,Luxo,Urbana,Charmoso bairro nobre,Conforto
1723791,713797,Humaitá,-22.96013,-43.19982,Quarto privativo,290.0,1,47,240,Luxo,Urbana,Vista para Cristo,Suíte
1724741,9090719,Copacabana,-22.96501,-43.17614,Casa/Apto inteiro,250.0,3,72,354,Padrão,Mar,Vista lateral mar,Localização
1732191,9124808,Copacabana,-22.98609,-43.19232,Casa/Apto inteiro,576.0,3,340,186,Econômico,Urbana,Localização em destaque,Praticidade
1732266,9126532,Copacabana,-22.98352,-43.19044,Casa/Apto inteiro,90.0,2,112,118,Padrão,Urbana,Ótima localização central,Localização
1763815,9270905,Ipanema,-22.98634,-43.20033,Casa/Apto inteiro,403.0,1,74,295,Luxo,Urbana,Cobertura com vista,Penthouse
1110592,5695975,Copacabana,-22.98396,-43.19364,Casa/Apto inteiro,200.0,4,311,257,Luxo,Urbana,Localização privilegiada,flat
1118497,6138630,Copacabana,-22.98394,-43.19047,Casa/Apto inteiro,239.0,2,395,94,Econômico,Mar,Praia em frente,Studio
1130596,2989144,Ipanema,-22.98765,-43.19378,Casa/Apto inteiro,791.0,10,200,276,Familiar,Urbana,Amplo estilo casa,Espaçoso
1146944,4555781,Laranjeiras,-22.93556,-43.18094,Casa/Apto inteiro,177.0,2,284,198,Padrão,Urbana,Localização em Copacabana,Apartamento
1149627,6301967,Ipanema,-22.98398,-43.20823,Casa/Apto inteiro,780.0,3,91,210,Luxo,Urbana,Localização Exclusiva Ipanema,Raridade
1150993,6308478,Barra de Guaratiba,-23.0662,-43.5659,Casa/Apto inteiro,752.0,3,24,360,Padrão,Mar,Estilo boêmio praiano,Beachhouse
1173981,3962758,Leme,-22.9607,-43.16962,Quarto privativo,158.0,2,29,105,Luxo,Mar,Melhor vista garantida,Suíte
1174302,3962758,Copacabana,-22.95944,-43.17349,Quarto privativo,170.0,2,124,330,Luxo,Mar,Melhor vista Copa,Suite
1190324,6506235,Leblon,-22.98598,-43.22426,Quarto privativo,292.0,1,239,182,Econômico,Sem Vista,Próximo à praia,Localização
1274695,6938417,Ipanema,-22.98376,-43.2001,Casa/Apto inteiro,893.0,30,21,210,Romântico,Mar,Próximo à praia,Apartamento
1280058,1834286,Copacabana,-22.9856,-43.19,Casa/Apto inteiro,510.0,2,458,267,Luxo,Urbana,Localização em Copacabana,Apartamento
1288017,6338641,Flamengo,-22.93898,-43.17313,Casa/Apto inteiro,294.0,2,229,59,Luxo,Mar,Vista Cristo Redentor,Vista
1791848,2893741,Ipanema,-22.9866943359375,-43.19386672973633,Casa/Apto inteiro,258.0,4,241,78,Moderno,Mar,Localização Praia Ícones,Design
1847188,474000,Centro,-22.91196,-43.17873,Casa/Apto inteiro,129.0,1,407,34,Padrão,Sem Vista,aconchegante e confortável,conforto
1768456,56451628,Copacabana,-22.97531,-43.18971,Casa/Apto inteiro,227.0,3,357,99,Econômico,Urbana,Apartamento muito limpo,Limpeza
2046481,10491355,Leblon,-22.98223,-43.22319,Casa/Apto inteiro,293.0,1,157,242,Luxo,Sem Vista,Localização próxima praia,Studio
2053687,10520880,Copacabana,-22.96507,-43.19335,Casa/Apto inteiro,800.0,3,51,267,Luxo,Mar,Localização em Copacabana,Vista
2078559,2704494,Ipanema,-22.9847,-43.19919,Casa/Apto inteiro,205.0,2,444,341,Padrão,Urbana,Próximo ao metrô,Conforto
2138728,10914284,Leme,-22.96313,-43.17,Quarto privativo,235.0,2,421,226,Econômico,Mar,Vista para praia,Privacidade
2152945,4284876,Leblon,-22.98314,-43.22818,Casa/Apto inteiro,324.0,5,256,76,Padrão,Urbana,Ambiente claro agradável,Luminosidade
2155838,10471406,Leblon,-22.98279,-43.22193,Casa/Apto inteiro,727.0,3,228,320,Luxo,Urbana,Localização excepcional Leblon,Loft
2160137,11022352,Catete,-22.92891,-43.17738,Casa/Apto inteiro,200.0,3,304,236,Familiar,Urbana,Próximo ao lazer,Localização
2165011,5972450,Copacabana,-22.96472,-43.18065,Casa/Apto inteiro,273.0,3,36,260,Romântico,Urbana,Charme aconchegante único,Charmoso
2168353,11062664,Centro,-22.91164,-43.18518,Casa/Apto inteiro,241.0,2,188,266,Padrão,Urbana,Localização central Lapa,apartamento
1892398,9836825,Copacabana,-22.97408,-43.18982,Casa/Apto inteiro,371.0,2,126,340,Padrão,Urbana,Localização central perfeita,Localização
1892918,9838755,Copacabana,-22.98478,-43.1906,Casa/Apto inteiro,292.0,2,170,120,Econômico,Urbana,Charmoso e Prático,Estúdio
1895099,9847358,Leblon,-22.97961,-43.22336,Casa/Apto inteiro,622.0,3,192,65,Luxo,Urbana,Jacuzzi com vista,Rooftop
1912695,4613553,Copacabana,-22.97621,-43.18937,Casa/Apto inteiro,1378.0,2,134,285,Luxo,Mar,Piscina privativa exclusiva,Penthouse
1943837,10054467,Copacabana,-22.98054,-43.19094,Quarto privativo,90.0,1,243,54,Econômico,Urbana,Privacidade e aconchego,Praticidade
1964140,10147371,Barra da Tijuca,-23.01008,-43.34924,Casa/Apto inteiro,350.0,5,236,92,Econômico,Mar,Conforto à beira,Apartamento
1966732,10158511,Copacabana,-22.9646595,-43.1748024,Casa/Apto inteiro,284.0,2,229,111,Econômico,Urbana,Perto da praia,Proximidade
1977864,1500231,Botafogo,-22.95676,-43.18238,Quarto privativo,313.0,3,18,347,Luxo,Urbana,Varanda espaçosa duplex,Duplex
2003574,4455538,Barra da Tijuca,-23.01128,-43.36015,Casa/Apto inteiro,302.0,2,292,328,Padrão,Mar,Frente para praia,Localização
2015458,4417808,Botafogo,-22.95266,-43.17707,Casa/Apto inteiro,323.0,3,138,163,Charmoso,Natureza,Próximo Pão Açúcar,Localização
2248466,11482984,Copacabana,-22.97475,-43.18754,Casa/Apto inteiro,684.0,5,214,70,Padrão,Urbana,Localização excelente,Iluminado
2196318,10104753,Santa Teresa,-22.93749,-43.20506,Casa/Apto inteiro,348.0,3,104,280,Luxo,Urbana,Vista panorâmica incrível,Terraço
2217005,11309673,Copacabana,-22.9647,-43.17796,Casa/Apto inteiro,189.0,2,166,326,Econômico,Urbana,Próximo à praia,Localização
2370226,12108736,Laranjeiras,-22.94228,-43.19327,Quarto privativo,340.0,2,142,345,Econômico,Sem Vista,Quarto e banheiro,Privacidade
2379205,10649854,Leblon,-22.984442,-43.232979,Casa/Apto inteiro,1244.0,2,132,297,Familiar,Urbana,Vista panorâmica urbana,Conforto
2383310,319672,Ipanema,-22.98418,-43.19454,Casa/Apto inteiro,478.0,3,489,358,Padrão,Urbana,Amplo e ensolarado,Espaçoso
2395010,12234661,Leblon,-22.97952,-43.22022,Casa/Apto inteiro,650.0,3,155,61,Familiar,Urbana,Tres quartos espaçosos,Apartamento
2397791,12251658,Copacabana,-22.971942901611328,-43.19195175170898,Casa/Apto inteiro,468.0,5,45,269,Luxo,Mar,Localização privilegiada praia,Exclusividade
2411803,7507394,Santa Teresa,-22.9209,-43.18121,Casa/Apto inteiro,270.0,7,11,88,Familiar,Mar,Vista confortável espaçosa,Conforto
2415735,12347511,Copacabana,-22.96834,-43.18569,Casa/Apto inteiro,158.0,2,478,90,Econômico,Sem Vista,Praticidade e conforto,Studio
2416600,12351117,Ipanema,-22.98596,-43.19904,Casa/Apto inteiro,501.0,6,35,261,Romântico,Mar,Charmoso flat praia,Charme
2426248,12351670,Laranjeiras,-22.932525634765625,-43.183048248291016,Quarto privativo,120.0,3,44,74,Econômico,Urbana,Quarto confortável localizado,Quarto
2445702,12498389,Copacabana,-22.96819,-43.18199,Casa/Apto inteiro,215.0,6,52,173,Padrão,Mar,Próximo à praia,Localização
2452761,12080407,Centro,-22.91456,-43.1864,Casa/Apto inteiro,180.0,2,200,260,Padrão,Urbana,Localização na Lapa,Apartamento
2258247,10066751,Ipanema,-22.98161,-43.19894,Casa/Apto inteiro,458.0,3,134,349,Familiar,Urbana,Estacionamento incluso destaque,Conforto
2258593,1076452,Copacabana,-22.97361,-43.1894,Casa/Apto inteiro,220.0,5,58,345,Luxo,Mar,Localização em Copacabana,Apartamento
2273956,11609657,Ipanema,-22.98058,-43.20341,Casa/Apto inteiro,550.0,2,61,120,Luxo,Natureza,Vista Lagoa Cristo,Vista
2298212,11631956,Copacabana,-22.96219,-43.17802,Casa/Apto inteiro,345.0,3,88,156,Luxo,Mar,Cobertura frente mar,Penthouse
2301415,1404492,Laranjeiras,-22.9379,-43.18894,Casa/Apto inteiro,363.0,3,38,64,Familiar,Urbana,Vista panorâmica segura,Refúgio
2325788,10661466,Copacabana,-22.98008,-43.19198,Casa/Apto inteiro,360.0,4,28,300,Padrão,Mar,Localização em Copacabana,Apartamento
2330221,11901508,Ipanema,-22.98433,-43.1974,Casa/Apto inteiro,238.0,3,191,184,Romântico,Mar,Localização em Ipanema,Exclusividade
2349343,11997903,Glória,-22.92028,-43.17777,Casa/Apto inteiro,200.0,2,427,323,Econômico,Urbana,Compacto e Charmoso,Mini
2508774,172059617,Ipanema,-22.9879,-43.19496,Quarto privativo,156.0,1,206,333,Econômico,Urbana,Localização em Ipanema,Quarto
2461715,4428126,Copacabana,-22.96644,-43.18141,Casa/Apto inteiro,969.0,2,163,220,Moderno,Urbana,Design com vista,Design
2473323,12650247,Barra da Tijuca,-23.00443,-43.32676,Quarto privativo,140.0,1,398,310,Padrão,Sem Vista,Ótima localização Barra,localização
2489727,172059617,Ipanema,-22.98703,-43.19502,Quarto privativo,154.0,1,245,343,Econômico,Urbana,Localização privilegiada Ipanema,Quarto
2657131,13596474,Ipanema,-22.98485,-43.20936,Casa/Apto inteiro,258.0,2,44,208,Luxo,Urbana,Vista para Cristo,Localização
2666977,3462794,Leme,-22.96275,-43.1727,Casa/Apto inteiro,471.0,3,294,49,Luxo,Mar,Apartamento frente mar,Luxo
2716091,13898744,Ipanema,-22.98546,-43.20377,Casa/Apto inteiro,331.0,2,350,221,Luxo,Urbana,Localização em Ipanema,Apartamento
2717072,13903917,Barra de Guaratiba,-23.07262,-43.56787,Casa/Apto inteiro,790.0,2,129,352,Romântico,Mar,Vista para mar,Costão
2726547,13952932,Copacabana,-22.98427,-43.19282,Casa/Apto inteiro,234.0,2,331,51,Moderno,Mar,Localização entre praias,Studio
2546631,13020068,Copacabana,-22.96862,-43.18644,Casa/Apto inteiro,242.0,3,455,202,Padrão,Urbana,Localização em Copacabana,Apartamento
2550510,13058091,Ipanema,-22.98532,-43.20402,Casa/Apto inteiro,540.0,4,67,128,Luxo,Mar,Próximo praia Ipanema,Localização
2560321,13108170,Copacabana,-22.96543502807617,-43.17399215698242,Casa/Apto inteiro,708.0,2,209,137,Luxo,Mar,Dupla suíte premium,Suíte
2632743,13482680,Ipanema,-22.98134,-43.19855,Casa/Apto inteiro,475.0,3,326,271,Luxo,Mar,Vista espetacular mar,Loft
2758806,476162,Copacabana,-22.9796,-43.19085,Casa/Apto inteiro,179.0,5,96,273,Moderno,Urbana,Espaço Aberto Versátil,Loft
2759691,14115818,Flamengo,-22.928,-43.17543,Casa/Apto inteiro,1192.0,2,27,352,Moderno,Urbana,Espaçoso e moderno,Localização
2946520,13392098,Ipanema,-22.9832,-43.19619,Casa/Apto inteiro,280.0,4,22,250,Luxo,Urbana,Localização em Ipanema,Flat
2947331,15045399,Ipanema,-22.98358,-43.19645,Casa/Apto inteiro,390.0,5,120,147,Padrão,Urbana,Localização em Ipanema,Conforto
2950011,15059402,Ipanema,-22.98584,-43.19893,Casa/Apto inteiro,457.0,4,67,200,Luxo,Mar,Localização privilegiada praia,Exclusividade
2966973,13596474,Ipanema,-22.98436,-43.2095,Casa/Apto inteiro,265.0,2,33,250,Luxo,Urbana,Localização em Ipanema,Apartamento
2995089,15268463,Copacabana,-22.9761478,-43.1899004,Casa/Apto inteiro,213.0,4,123,98,Padrão,Mar,Proximidade com praia,Localização
2817475,14279272,Copacabana,-22.97733,-43.1902,Casa/Apto inteiro,223.0,2,85,16,Romântico,Urbana,Proximidade à praia,Localização
2829064,14447555,São Cristóvão,-22.90505,-43.21977,Casa/Apto inteiro,242.0,1,164,291,Familiar,Urbana,Capacidade para seis,Espaçoso
2838382,14520502,Copacabana,-22.97803,-43.18901,Casa/Apto inteiro,335.0,1,53,315,Luxo,Mar,Vista para oceano,Vista
2897255,11572985,Copacabana,-22.98574,-43.19027,Casa/Apto inteiro,877.0,2,71,219,Luxo,Mar,Jacuzzi e Churrasqueira,Penthouse
3183776,16141644,Ipanema,-22.98606,-43.19719,Casa/Apto inteiro,276.0,1,77,335,Moderno,Sem Vista,Compacto e funcional,Studio
3228852,16342013,Flamengo,-22.92712,-43.1737,Casa/Apto inteiro,204.0,2,166,33,Romântico,Urbana,Iluminação natural interna,Luz
3230385,16323335,Leme,-22.962833,-43.169964,Casa/Apto inteiro,299.0,4,371,132,Romântico,Mar,Vista mar encantadora,Estúdio
3234193,16367873,Ipanema,-22.986822,-43.194298,Casa/Apto inteiro,251.0,6,261,70,Econômico,Mar,Vista parcial mar,Estúdio
3245831,400293,Copacabana,-22.97873,-43.19129,Quarto privativo,218.0,3,240,57,Econômico,Urbana,Banheiro Privativo Incluso,Praticidade
3302906,6506235,Leblon,-22.98481,-43.22518,Quarto privativo,261.0,1,380,143,Econômico,Sem Vista,Próximo à praia,Quarto
3069393,11656828,Leme,-22.9627,-43.16859,Quarto privativo,193.0,3,360,129,Econômico,Urbana,Próximo à praia,Privacidade
3074520,15646327,Leblon,-22.98278,-43.21964,Casa/Apto inteiro,514.0,5,399,110,Luxo,Mar,Design sofisticado praia,Exclusividade
3079210,15670158,Flamengo,-22.93779,-43.17348,Casa/Apto inteiro,212.0,2,403,313,Familiar,Sem Vista,Silencioso perto praia,Conforto
3079245,15670256,Copacabana,-22.96948,-43.18954,Casa/Apto inteiro,316.0,2,81,92,Padrão,Urbana,Localização e conforto,Conforto
3112310,149407,São Conrado,-22.99924,-43.27303,Casa/Apto inteiro,8500.0,1,24,365,Luxo,Natureza,Amplo espaço acomodação,Suítes
3136464,15925374,Barra da Tijuca,-23.0056828,-43.3299375,Casa/Apto inteiro,276.0,2,33,248,Familiar,Sem Vista,Piscina no condomínio,Condomínio
3154366,500892,Copacabana,-22.96884,-43.1812,Casa/Apto inteiro,279.0,3,53,75,Luxo,Mar,Localização à beira-mar,Studio
3462690,3549189,Ipanema,-22.98792,-43.193,Casa/Apto inteiro,437.0,2,453,247,Luxo,Urbana,Localização privilegiada Ipanema,Exclusividade
3512791,5584753,Flamengo,-22.93498,-43.17501,Casa/Apto inteiro,112.0,3,88,34,Padrão,Urbana,Casa em Rio,Localização
3533170,14417792,Leblon,-22.985769,-43.224655,Casa/Apto inteiro,705.0,2,40,238,Luxo,Urbana,Melhor localização Leblon,Localização
4314382,22397127,Ipanema,-22.98555,-43.20136,Quarto privativo,95.0,7,167,149,Padrão,Urbana,Quarto grande privativo,Apartamento
4354095,18151909,Santa Teresa,-22.92198,-43.18664,Casa/Apto inteiro,356.0,3,217,70,Luxo,Natureza,Piscina privada jardim,Bungalow
4387531,293254659,Copacabana,-22.96514,-43.17448,Casa/Apto inteiro,1075.0,1,164,278,Luxo,Mar,Vista Espetacular Copacabana,Vista
4455820,2444956,Vidigal,-22.99078,-43.23341,Casa/Apto inteiro,252.0,2,593,176,Luxo,Mar,Casa praia deslumbrante,beachfront
3162011,16040532,Copacabana,-22.98501,-43.19147,Casa/Apto inteiro,289.0,5,139,51,Moderno,Urbana,Localização privilegiada Arpoador,Studio
3167773,14964711,Leblon,-22.98337,-43.22241,Casa/Apto inteiro,354.0,10,51,85,Moderno,Urbana,Melhor wifi remoto,Design
3735424,10122044,Ipanema,-22.98146,-43.21029,Casa/Apto inteiro,440.0,3,157,99,Luxo,Urbana,Localização privilegiada,Exclusividade
3880347,20059424,Copacabana,-22.96824,-43.18881,Casa/Apto inteiro,276.0,2,239,209,Padrão,Mar,Bright flat view,Iluminação
3919056,10288605,Copacabana,-22.975709915161133,-43.19119644165039,Casa/Apto inteiro,293.0,2,75,192,Luxo,Urbana,Próximo à praia,Localização
3921691,3321901,Leme,-22.96438,-43.17152,Casa/Apto inteiro,920.0,3,197,146,Luxo,Mar,Detalhes e Vista,Exclusividade
4000148,9270905,Ipanema,-22.98681,-43.199,Casa/Apto inteiro,349.0,1,39,351,Padrão,Urbana,Localização em Ipanema,Praticidade
4024384,10796926,Santa Teresa,-22.91854,-43.18131,Casa/Apto inteiro,234.0,1,156,203,Moderno,Urbana,Loft com terraço,Terrace
4067282,21091053,Ipanema,-22.98576,-43.19857,Casa/Apto inteiro,924.0,3,325,225,Luxo,Mar,Localização frente praia,Exclusividade
4124661,17647213,Copacabana,-22.9686,-43.18234,Casa/Apto inteiro,1853.0,5,14,252,Padrão,Mar,Próximo da praia,Espaço
4497142,4284876,Copacabana,-22.97963,-43.18951,Casa/Apto inteiro,257.0,6,64,111,Romântico,Urbana,Ideal para casais,Conforto
4580561,16346613,Glória,-22.91773,-43.17711,Casa/Apto inteiro,232.0,2,132,354,Econômico,Urbana,Conforto e tecnologia,Conforto
4618680,23925443,Flamengo,-22.93269,-43.17496,Casa/Apto inteiro,240.0,3,188,127,Padrão,Sem Vista,Atraente e acolhedor,Apartamento
